,City,Country,Date (UTC),Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind (mph)
0,clyde river,CA,2020-04-11 19:26:20,70.47,-68.59,6.8,92.0,75.0,14.99
1,benjamin constant,BR,2020-04-11 19:29:33,-4.38,-70.03,86.0,74.0,40.0,4.7
2,punta arenas,CL,2020-04-11 19:20:16,-53.15,-70.92,50.0,61.0,40.0,20.8
3,bonavista,CA,2020-04-11 19:30:29,48.65,-53.11,39.99,69.0,35.0,15.01
4,kahului,US,2020-04-11 19:23:42,20.89,-156.47,77.0,73.0,1.0,13.87
5,puerto ayora,EC,2020-04-11 19:25:56,-0.74,-90.35,86.0,66.0,75.0,11.41
6,santa lucia,ES,2020-04-11 19:30:30,27.91,-15.54,70.0,64.0,20.0,21.92
7,hobart,AU,2020-04-11 19:21:46,-42.88,147.33,51.01,66.0,75.0,8.05
8,atuona,PF,2020-04-11 19:24:54,-9.8,-139.03,82.27,72.0,97.0,7.99
9,hasaki,JP,2020-04-11 19:26:24,35.73,140.83,46.4,93.0,75.0,6.93
10,hermanus,ZA,2020-04-11 19:24:58,-34.42,19.23,70.0,77.0,100.0,5.99
11,linqiong,CN,2020-04-11 19:30:30,30.42,103.46,60.8,67.0,0.0,0.81
12,rikitea,PF,2020-04-11 19:20:54,-23.12,-134.97,76.73,74.0,94.0,3.83
13,hilo,US,2020-04-11 19:25:32,19.73,-155.09,80.6,65.0,75.0,4.7
14,bluff,NZ,2020-04-11 19:20:24,-46.6,168.33,52.0,77.0,100.0,1.99
16,kavaratti,IN,2020-04-11 19:21:02,10.57,72.64,85.01,68.0,1.0,4.03
17,nikolskoye,RU,2020-04-11 19:25:33,59.7,30.79,32.0,89.0,20.0,4.47
18,bredasdorp,ZA,2020-04-11 19:25:02,-34.53,20.04,71.6,56.0,100.0,9.17
19,phan thiet,VN,2020-04-11 19:26:25,10.93,108.1,79.38,81.0,44.0,5.55
20,muli,MV,2020-04-11 19:25:44,2.92,73.57,85.48,63.0,4.0,4.12
21,sakakah,SA,2020-04-11 19:26:17,29.97,40.21,64.4,28.0,4.0,10.47
22,kaduqli,SD,2020-04-11 19:30:30,11.02,29.72,84.96,12.0,26.0,11.72
23,rio grande,BR,2020-04-11 19:26:27,-32.03,-52.1,75.2,53.0,20.0,10.29
24,adrar,MR,2020-04-11 19:26:09,20.5,-10.07,96.03,9.0,0.0,6.55
25,port hedland,AU,2020-04-11 19:30:30,-20.32,118.57,75.2,78.0,0.0,5.82
26,college,US,2020-04-11 19:26:36,64.86,-147.8,33.8,63.0,75.0,6.93
27,port alfred,ZA,2020-04-11 19:24:18,-33.59,26.89,69.01,91.0,100.0,7.0
28,vaini,TO,2020-04-11 19:25:00,-21.2,-175.2,66.2,93.0,20.0,2.24
29,santa maria,BR,2020-04-11 19:30:30,-29.68,-53.81,67.44,61.0,0.0,4.72
30,chapais,CA,2020-04-11 19:27:34,49.78,-74.85,28.4,63.0,90.0,13.87
31,saint-philippe,RE,2020-04-11 19:24:58,-21.36,55.77,75.2,78.0,57.0,4.7
32,portales,US,2020-04-11 19:25:45,34.19,-103.33,73.99,16.0,1.0,10.29
33,nsanje,MW,2020-04-11 19:30:31,-16.92,35.26,68.47,83.0,41.0,3.67
34,kapaa,US,2020-04-11 19:24:04,22.08,-159.32,78.8,65.0,20.0,5.82
35,bengkulu,ID,2020-04-11 19:27:53,-3.8,102.27,79.27,79.0,37.0,2.73
36,bad gandersheim,DE,2020-04-11 19:30:31,51.87,10.03,57.2,44.0,71.0,4.7
37,barrow,US,2020-04-11 19:25:07,71.29,-156.79,-2.2,84.0,90.0,11.41
38,atar,MR,2020-04-11 19:27:19,20.52,-13.05,98.92,9.0,0.0,12.82
39,pevek,RU,2020-04-11 19:20:58,69.7,170.31,5.49,93.0,98.0,14.0
41,mar del plata,AR,2020-04-11 19:20:21,-38.0,-57.56,73.99,49.0,0.0,16.11
42,krasnoselkup,RU,2020-04-11 19:30:31,65.7,82.47,35.44,97.0,100.0,21.47
43,klaksvik,FO,2020-04-11 19:27:15,62.23,-6.59,44.6,100.0,100.0,14.99
44,evensk,RU,2020-04-11 19:30:31,61.95,159.23,8.87,90.0,100.0,4.12
45,pangody,RU,2020-04-11 19:30:31,65.85,74.49,24.3,95.0,100.0,12.8
46,lufilufi,WS,2020-04-11 19:30:31,-13.87,-171.6,77.0,94.0,90.0,4.7
47,fairbanks,US,2020-04-11 19:25:01,64.84,-147.72,30.2,79.0,1.0,3.69
48,qaanaaq,GL,2020-04-11 19:25:16,77.48,-69.36,13.87,78.0,77.0,3.33
49,polunochnoye,RU,2020-04-11 19:30:32,60.87,60.42,34.54,90.0,100.0,3.24
50,naze,JP,2020-04-11 19:26:45,28.37,129.48,64.4,93.0,75.0,16.11
51,ahipara,NZ,2020-04-11 19:25:58,-35.17,173.17,62.2,80.0,43.0,11.18
52,ushuaia,AR,2020-04-11 19:25:05,-54.8,-68.3,44.6,70.0,75.0,26.4
53,albany,US,2020-04-11 19:25:03,42.6,-73.97,48.0,52.0,75.0,13.87
54,floro,NO,2020-04-11 19:31:32,61.6,5.03,46.99,93.0,100.0,19.46
55,anchorage,US,2020-04-11 19:26:15,61.22,-149.9,33.8,42.0,1.0,5.82
56,belfast,GB,2020-04-11 19:27:30,54.58,-5.93,62.6,42.0,55.0,2.24
57,te anau,NZ,2020-04-11 19:23:10,-45.42,167.72,52.38,69.0,91.0,4.18
58,jamestown,US,2020-04-11 19:25:33,42.1,-79.24,46.99,52.0,20.0,14.99
60,camana,PE,2020-04-11 19:31:32,-16.62,-72.71,73.98,73.0,86.0,7.72
61,tawau,MY,2020-04-11 19:31:32,4.25,117.89,77.0,100.0,20.0,3.36
62,butaritari,KI,2020-04-11 19:20:42,3.07,172.79,83.77,76.0,78.0,12.77
63,cidreira,BR,2020-04-11 19:25:28,-30.18,-50.21,71.42,56.0,18.0,7.56
64,busselton,AU,2020-04-11 19:25:18,-33.65,115.33,70.0,57.0,100.0,6.13
66,saint-francois,FR,2020-04-11 19:31:32,46.42,3.91,64.0,42.0,50.0,2.24
67,mahebourg,MU,2020-04-11 19:25:50,-20.41,57.7,78.01,88.0,75.0,18.34
69,nalut,LY,2020-04-11 19:31:33,30.33,10.85,68.0,25.0,0.0,19.42
70,oeiras do para,BR,2020-04-11 19:31:33,-2.0,-49.85,80.91,87.0,42.0,2.53
71,batagay-alyta,RU,2020-04-11 19:25:09,67.8,130.41,18.27,86.0,100.0,6.08
72,tasiilaq,GL,2020-04-11 19:25:42,65.61,-37.64,32.0,90.0,40.0,11.41
74,olafsvik,IS,2020-04-11 19:31:33,64.89,-23.71,37.02,79.0,61.0,28.86
75,ribeira grande,PT,2020-04-11 19:21:07,38.52,-28.7,64.4,77.0,20.0,4.7
76,huangmei,CN,2020-04-11 19:31:33,30.19,116.03,45.95,78.0,0.0,6.26
77,sao filipe,CV,2020-04-11 19:25:52,14.9,-24.5,77.7,69.0,10.0,11.54
78,amapa,BR,2020-04-11 19:29:42,1.0,-52.0,81.28,89.0,90.0,4.68
79,victoria,HK,2020-04-11 19:24:40,22.29,114.16,68.0,88.0,40.0,8.05
80,languyan,PH,2020-04-11 19:31:33,5.26,120.08,82.38,70.0,0.0,2.04
81,nanortalik,GL,2020-04-11 19:27:00,60.14,-45.24,39.31,69.0,95.0,27.51
82,waipawa,NZ,2020-04-11 19:31:33,-41.41,175.52,59.0,82.0,49.0,17.22
83,saint-georges,GD,2020-04-11 19:31:03,12.06,-61.75,86.0,62.0,20.0,17.22
84,polovinnoye,RU,2020-04-11 19:31:33,54.79,65.99,39.16,74.0,100.0,6.62
85,buraydah,SA,2020-04-11 19:26:37,26.33,43.98,71.6,35.0,16.0,12.75
86,esperance,AU,2020-04-11 19:20:25,-33.87,121.9,68.0,68.0,81.0,18.34
87,hithadhoo,MV,2020-04-11 19:24:00,-0.6,73.08,85.06,65.0,49.0,6.69
89,lagoa,PT,2020-04-11 19:27:14,39.05,-27.98,61.81,70.0,0.0,10.65
90,koshurnikovo,RU,2020-04-11 19:31:06,54.17,93.3,26.58,88.0,0.0,3.09
91,cape town,ZA,2020-04-11 19:20:02,-33.93,18.42,66.99,88.0,40.0,18.34
92,castro,BR,2020-04-11 19:21:39,-24.79,-50.01,71.26,42.0,63.0,3.18
93,chuy,UY,2020-04-11 19:20:38,-33.7,-53.46,70.47,55.0,24.0,6.38
94,tuktoyaktuk,CA,2020-04-11 19:26:09,69.45,-133.04,-2.2,84.0,75.0,6.93
95,marapanim,BR,2020-04-11 19:31:34,-0.72,-47.7,80.76,87.0,93.0,10.51
96,carnarvon,AU,2020-04-11 19:25:35,-24.87,113.63,75.2,100.0,58.0,9.17
97,sobolevo,RU,2020-04-11 19:31:34,54.43,31.9,32.5,83.0,0.0,5.93
98,saint george,US,2020-04-11 19:26:16,37.1,-113.58,60.8,41.0,1.0,4.7
99,pisco,PE,2020-04-11 19:25:07,-13.7,-76.22,73.0,30.0,1.0,11.41
100,pecos,US,2020-04-11 19:32:34,31.42,-103.49,81.0,22.0,1.0,9.17
101,port hardy,CA,2020-04-11 19:26:56,50.7,-127.42,46.4,81.0,20.0,5.82
102,kavieng,PG,2020-04-11 19:26:57,-2.57,150.8,82.92,74.0,97.0,4.68
103,beringovskiy,RU,2020-04-11 19:25:03,63.05,179.32,7.12,93.0,94.0,11.01
104,arraial do cabo,BR,2020-04-11 19:25:08,-22.97,-42.03,69.8,94.0,75.0,6.93
105,avarua,CK,2020-04-11 19:24:57,-21.21,-159.78,82.4,88.0,65.0,5.82
106,kaeo,NZ,2020-04-11 19:32:34,-35.1,173.78,55.99,98.0,81.0,1.99
108,san vicente,AR,2020-04-11 19:32:35,-26.62,-54.13,67.05,45.0,0.0,3.33
109,bundibugyo,UG,2020-04-11 19:32:35,0.74,30.04,73.18,47.0,82.0,2.26
110,yellowknife,CA,2020-04-11 19:23:55,62.46,-114.35,15.01,51.0,20.0,13.87
111,salinopolis,BR,2020-04-11 19:32:35,-0.61,-47.36,81.79,85.0,94.0,12.59
112,dikson,RU,2020-04-11 19:25:19,73.51,80.55,13.53,92.0,100.0,5.86
113,broken hill,AU,2020-04-11 19:27:10,-31.95,141.43,44.6,65.0,0.0,4.7
114,novyy urengoy,RU,2020-04-11 19:29:51,66.08,76.63,36.01,97.0,100.0,18.75
115,itarema,BR,2020-04-11 19:21:40,-2.92,-39.92,84.45,75.0,100.0,8.48
116,port-cartier,CA,2020-04-11 19:32:35,50.03,-66.87,41.0,38.0,75.0,13.87
117,georgetown,MY,2020-04-11 19:21:36,5.41,100.34,84.2,83.0,20.0,1.12
118,hofn,IS,2020-04-11 19:27:09,64.25,-15.21,41.32,83.0,81.0,20.27
119,maldonado,UY,2020-04-11 19:32:35,-34.67,-54.92,69.8,73.0,40.0,10.29
120,charters towers,AU,2020-04-11 19:25:48,-20.1,146.27,72.48,68.0,70.0,2.21
121,christchurch,NZ,2020-04-11 19:22:24,-43.53,172.63,59.0,87.0,89.0,6.93
122,lesnoy,RU,2020-04-11 19:32:35,57.62,63.08,38.14,83.0,71.0,7.0
123,chateaubelair,VC,2020-04-11 19:32:35,13.28,-61.25,86.0,74.0,20.0,6.93
125,tubuala,PA,2020-04-11 19:32:36,9.52,-79.03,93.99,49.0,40.0,5.82
126,de-kastri,RU,2020-04-11 19:32:36,51.47,140.78,33.67,92.0,100.0,10.09
127,dedougou,BF,2020-04-11 19:32:36,12.47,-3.47,95.02,23.0,95.0,7.54
129,gamagori,JP,2020-04-11 19:32:36,34.83,137.23,50.0,61.0,75.0,6.93
130,aklavik,CA,2020-04-11 19:24:38,68.22,-135.01,12.2,72.0,20.0,9.17
131,ponta do sol,PT,2020-04-11 19:25:27,32.67,-17.1,64.4,68.0,75.0,14.99
132,mataura,NZ,2020-04-11 19:25:20,-46.19,168.86,52.0,77.0,100.0,1.99
133,kodiak,US,2020-04-11 19:25:14,57.79,-152.41,41.0,77.0,90.0,16.11
134,roma,US,2020-04-11 19:27:01,43.21,-75.46,46.4,45.0,90.0,14.99
135,harrison,US,2020-04-11 19:32:36,30.41,-89.04,75.99,53.0,1.0,16.11
136,zelenoborsk,RU,2020-04-11 19:32:36,61.47,64.03,35.85,88.0,100.0,6.29
137,longyearbyen,SJ,2020-04-11 19:25:04,78.22,15.64,-4.0,70.0,20.0,5.12
138,broome,US,2020-04-11 19:26:27,42.25,-75.83,48.0,36.0,40.0,20.8
139,tocopilla,CL,2020-04-11 19:32:36,-22.09,-70.2,80.67,32.0,24.0,5.5
140,acapulco,MX,2020-04-11 19:25:15,16.86,-99.89,84.2,74.0,40.0,4.7
141,lanzhou,CN,2020-04-11 19:32:37,36.06,103.79,46.99,32.0,0.0,4.47
142,gbarnga,LR,2020-04-11 19:32:37,7.0,-9.47,75.34,83.0,58.0,3.11
143,ilulissat,GL,2020-04-11 19:24:07,69.22,-51.1,32.0,91.0,75.0,9.17
144,hambantota,LK,2020-04-11 19:32:37,6.12,81.12,80.98,81.0,27.0,9.98
145,guerrero negro,MX,2020-04-11 19:21:48,27.98,-114.06,65.91,50.0,67.0,12.44
146,bambous virieux,MU,2020-04-11 19:24:07,-20.34,57.76,78.01,88.0,75.0,18.34
147,lata,PT,2020-04-11 19:24:28,40.16,-8.33,60.01,77.0,75.0,9.17
148,manado,ID,2020-04-11 19:32:37,1.49,124.85,73.4,94.0,20.0,2.24
150,bundaberg,AU,2020-04-11 19:33:37,-24.85,152.35,72.0,88.0,75.0,3.36
151,nacozari,MX,2020-04-11 19:33:37,25.34,-108.26,81.0,44.0,97.0,5.01
153,inta,RU,2020-04-11 19:33:37,66.03,60.17,13.14,94.0,26.0,5.37
154,nome,US,2020-04-11 19:24:19,64.5,-165.41,24.8,85.0,20.0,9.17
155,san rafael,AR,2020-04-11 19:33:37,-34.62,-68.33,73.36,25.0,70.0,12.17
156,new norfolk,AU,2020-04-11 19:25:15,-42.78,147.06,51.01,66.0,75.0,8.05
157,cherskiy,RU,2020-04-11 19:24:33,68.75,161.3,11.71,96.0,100.0,11.54
158,mayumba,GA,2020-04-11 19:27:54,-3.43,10.66,78.8,87.0,100.0,7.0
159,taguatinga,BR,2020-04-11 19:33:38,-12.39,-46.57,77.77,75.0,97.0,1.72
